Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1_HAEC_0_R1_001	44.71768295130983	38.0	75.0	36.36363636363637	17229266.0
1_HAEC_0_R2_001	36.344912424168385	38.0	75.0	27.27272727272727	17229266.0
1_HAEC_1_25_R1_001	45.775061197136836	39.0	75.0	36.36363636363637	18351157.0
1_HAEC_1_25_R2_001	37.88337391401364	39.0	75.0	36.36363636363637	18351157.0
1_HAEC_2_5_R1_001	42.132774999639246	37.0	75.0	36.36363636363637	11326835.0
1_HAEC_2_5_R2_001	25.882427326871536	37.0	75.0	27.27272727272727	11326835.0
2_HAEC_0_R1_001	48.82452365986837	39.0	75.0	36.36363636363637	25909089.0
2_HAEC_0_R2_001	40.78849885538355	38.0	75.0	36.36363636363637	25909089.0
2_HAEC_1_25_R1_001	43.506448899480965	39.0	75.0	36.36363636363637	12537092.0
2_HAEC_1_25_R2_001	36.87870634887427	38.0	75.0	36.36363636363637	12537092.0
2_HAEC_2_5_R1_001	49.272680148111846	38.0	75.0	27.27272727272727	17553927.0
2_HAEC_2_5_R2_001	41.707191441216764	38.0	75.0	27.27272727272727	17553927.0
